Issue key,Project key,Issue Type,Summary,Description,Priority,Status,Component/s,Environment,Reporter,Created,Current Team,Owning Team,HPS Triage Class
MER-40259,MER,Bug,POS EMV fallback returns 0x93,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Acquirer-Route. Env=UAT.,Highest,To Do,Acquirer-Route,UAT,r.ghali,10/4/2025 10:22,Fraud-Team,Acquirer-Team,forward_other_team
MOB-40260,MOB,Incident,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Medium,Closed,Merchant-Portal,Development,a.hassan,4/30/2025 17:43,Merchant-Team,Merchant-Team,discard
MOB-40261,MOB,Service Request,It doesn't work,Missing PAN mask and environment.,Medium,Waiting for customer,Switch-Core,Production,y.tazi,9/3/2025 16:35,Switch-Team,Switch-Team,need_more_info
TDS-40262,TDS,Service Request,POS EMV fallback returns 0x93,"Expected auth approval, actual decline. Component Merchant-Portal, Env=iOS.",High,In Progress,Merchant-Portal,iOS,y.tazi,3/20/2025 12:09,Mobile-Team,Merchant-Team,forward_other_team
TDS-40263,TDS,Incident,Settlement file missing batch #42,Logs attached. Route to owning team for POS-Integration. Env=iOS.,Highest,To Do,POS-Integration,iOS,o.lamia,8/21/2025 12:54,Settlement-Team,Acquirer-Team,forward_other_team
PCA-40264,PCA,Service Request,Settlement file missing batch #42,"Expected auth approval, actual decline. Component Acquirer-Route, Env=Development.",Medium,In Progress,Acquirer-Route,Development,a.hassan,4/14/2025 14:10,Mobile-Team,Acquirer-Team,forward_other_team
FRA-40265,FRA,Incident,It doesn't work,No steps/logs provided.,High,Waiting for customer,Merchant-Portal,Development,a.hassan,6/4/2025 4:12,Merchant-Team,Merchant-Team,need_more_info
PCA-40266,PCA,Incident,Need help asap,No steps/logs provided.,Low,Waiting for customer,Clearing-Reports,Development,a.hassan,8/22/2025 8:36,Settlement-Team,Settlement-Team,need_more_info
TDS-40267,TDS,Service Request,Monitoring noise: CPU normal,Auto-generated monitoring. No action required.,Medium,Closed,3DS-Challenge,Production,o.lamia,9/17/2025 23:35,3DS-Team,3DS-Team,discard
SWT-40268,SWT,Task,Settlement file missing batch #42,Logs attached. Route to owning team for 3DS-Enrollment. Env=Staging.,High,In Progress,3DS-Enrollment,Staging,h.ben,7/24/2025 16:40,Switch-Team,3DS-Team,forward_other_team
MOB-40269,MOB,Incident,Merchant portal export fails for >10k rows,Logs attached. Route to owning team for Issuer-Auth. Env=Development.,High,In Progress,Issuer-Auth,Development,h.ben,7/13/2025 10:29,Merchant-Team,Issuer-Team,forward_other_team
TDS-40270,TDS,Bug,3DS challenge timeout on iOS 17,Logs attached. Route to owning team for Acquirer-Route. Env=Android.,Low,To Do,Acquirer-Route,Android,s.fassi,6/28/2025 8:41,3DS-Team,Acquirer-Team,forward_other_team
TDS-40271,TDS,Incident,Merchant portal export fails for >10k rows,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects 3DS-Enrollment. Env=Production.,Low,To Do,3DS-Enrollment,Production,n.elkachach,9/25/2025 22:07,Fraud-Team,3DS-Team,forward_other_team
SET-40272,SET,Service Request,It doesn't work,Missing PAN mask and environment.,Medium,Waiting for customer,3DS-Enrollment,iOS,h.ben,5/10/2025 1:22,3DS-Team,3DS-Team,need_more_info
SWT-40273,SWT,Task,Issue found please fix,Missing PAN mask and environment.,Highest,Waiting for customer,Fraud-Scoring,Production,a.hassan,4/15/2025 3:24,Fraud-Team,Fraud-Team,need_more_info
MOB-40274,MOB,Service Request,Issue found please fix,No steps/logs provided.,Highest,Waiting for customer,Issuer-Auth,iOS,s.fassi,7/21/2025 9:46,Issuer-Team,Issuer-Team,need_more_info
SWT-40275,SWT,Incident,Monitoring noise: CPU normal,Auto-generated monitoring. No action required.,Medium,Closed,Issuer-Auth,Production,h.ben,7/23/2025 9:39,Issuer-Team,Issuer-Team,discard
MER-40276,MER,Service Request,Settlement file missing batch #42,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Merchant-Portal. Env=Development.,Low,In Progress,Merchant-Portal,Development,s.fassi,9/8/2025 8:26,Issuer-Team,Merchant-Team,forward_other_team
FRA-40277,FRA,Service Request,TEST ticket - ignore,Auto-generated monitoring. No action required.,Medium,Closed,Issuer-Auth,Staging,r.ghali,9/23/2025 6:46,Issuer-Team,Issuer-Team,discard
MOB-40278,MOB,Service Request,TEST ticket - ignore,Duplicate created by webhook glitch.,High,Closed,Fraud-Scoring,Production,y.tazi,8/22/2025 6:46,Fraud-Team,Fraud-Team,discard
MOB-40279,MOB,Task,TEST ticket - ignore,Duplicate created by webhook glitch.,Highest,Closed,Merchant-Portal,Development,a.hassan,8/29/2025 5:09,Merchant-Team,Merchant-Team,discard
MER-40280,MER,Task,Card auth declined 05 for BIN 123456,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects 3DS-Enrollment. Env=UAT.,Medium,In Progress,3DS-Enrollment,UAT,a.hassan,9/18/2025 21:14,Fraud-Team,3DS-Team,forward_other_team
PCA-40281,PCA,Bug,Need help asap,Missing PAN mask and environment.,Medium,Waiting for customer,Issuer-Dispute,UAT,n.elkachach,5/17/2025 7:35,Issuer-Team,Issuer-Team,need_more_info
MOB-40282,MOB,Task,It doesn't work,Missing PAN mask and environment.,High,Waiting for customer,3DS-Enrollment,Android,o.lamia,9/22/2025 22:22,3DS-Team,3DS-Team,need_more_info
PCI-40283,PCI,Incident,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Medium,Closed,Mobile-SDK,Android,n.elkachach,8/6/2025 13:22,Mobile-Team,Mobile-Team,discard
PCA-40284,PCA,Incident,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Highest,Closed,3DS-Challenge,Development,s.fassi,3/23/2025 5:11,3DS-Team,3DS-Team,discard
MER-40285,MER,Service Request,Switch routing table failed over unexpectedly,Steps: 1) Do X 2) Do Y 3) Observe Z. Affects Clearing-Reports. Env=Production.,High,In Progress,Clearing-Reports,Production,s.fassi,6/11/2025 16:40,Switch-Team,Settlement-Team,forward_other_team
MER-40286,MER,Bug,Settlement file missing batch #42,"Expected auth approval, actual decline. Component Issuer-Auth, Env=Staging.",Low,To Do,Issuer-Auth,Staging,m.ali,8/27/2025 17:08,Fraud-Team,Issuer-Team,forward_other_team
TDS-40287,TDS,Bug,TEST ticket - ignore,Duplicate created by webhook glitch.,Highest,Closed,Settlement-Core,UAT,m.ali,9/23/2025 8:11,Settlement-Team,Settlement-Team,discard
TDS-40288,TDS,Bug,It doesn't work,Missing PAN mask and environment.,High,Waiting for customer,Mobile-SDK,Development,m.ali,5/25/2025 21:29,Mobile-Team,Mobile-Team,need_more_info
MER-40289,MER,Bug,TEST ticket - ignore,Duplicate created by webhook glitch.,Medium,Closed,Settlement-Core,Android,r.ghali,9/22/2025 3:28,Settlement-Team,Settlement-Team,discard
SET-40290,SET,Task,It doesn't work,Cannot reproduce locally. Need timestamps.,Highest,Waiting for customer,Fraud-Scoring,iOS,o.lamia,5/17/2025 22:50,Fraud-Team,Fraud-Team,need_more_info
MER-40291,MER,Task,It doesn't work,Cannot reproduce locally. Need timestamps.,Low,Waiting for customer,Mobile-SDK,iOS,k.amine,4/10/2025 21:39,Mobile-Team,Mobile-Team,need_more_info
PCA-40292,PCA,Bug,Auto ping: heartbeat ok,Auto-generated monitoring. No action required.,Medium,Closed,Clearing-Reports,Development,k.amine,3/29/2025 1:03,Settlement-Team,Settlement-Team,discard
TDS-40293,TDS,Service Request,Need help asap,Cannot reproduce locally. Need timestamps.,Low,Waiting for customer,Clearing-Reports,UAT,o.lamia,7/14/2025 2:33,Settlement-Team,Settlement-Team,need_more_info
MOB-40294,MOB,Task,TEST ticket - ignore,Auto-generated monitoring. No action required.,Highest,Closed,3DS-Challenge,UAT,o.lamia,8/5/2025 1:00,3DS-Team,3DS-Team,discard
MOB-40295,MOB,Bug,Auto ping: heartbeat ok,Duplicate created by webhook glitch.,Medium,Closed,Fraud-Scoring,Production,h.ben,6/7/2025 9:38,Fraud-Team,Fraud-Team,discard
PCI-40296,PCI,Service Request,Merchant portal export fails for >10k rows,Logs attached. Route to owning team for Acquirer-Route. Env=Android.,Highest,In Progress,Acquirer-Route,Android,n.elkachach,7/4/2025 1:12,3DS-Team,Acquirer-Team,forward_other_team
FRA-40297,FRA,Service Request,Monitoring noise: CPU normal,Auto-generated monitoring. No action required.,Low,Closed,Issuer-Dispute,UAT,o.lamia,7/21/2025 13:55,Issuer-Team,Issuer-Team,discard
PCI-40298,PCI,Incident,It doesn't work,Missing PAN mask and environment.,Medium,Waiting for customer,3DS-Challenge,Android,m.ali,6/7/2025 13:21,3DS-Team,3DS-Team,need_more_info
PCI-40299,PCI,Task,Monitoring noise: CPU normal,Duplicate created by webhook glitch.,Medium,Closed,Clearing-Reports,iOS,h.ben,6/2/2025 6:45,Settlement-Team,Settlement-Team,discard
